1;Абай;{"name":"Абай","nameRU":"Абай"}
2;Акколь,Ақкөл;{"name":"Ақкөл","nameRU":"Акколь"}
3;Аксай,Ақсай;{"name":"Ақсай","nameRU":"Аксай"}
4;Аксу,Ақсу;{"name":"Ақсу","nameRU":"Аксу"}
5;Актау,Ақтау,Акта,Шевченко;{"name":"Ақтау","nameRU":"Актау"}
6;Актобе,Ақтөбе,Ахтубе,Актюбинск,Актюбе,Актебе,тюбе,тобе;{"name":"Ақтөбе","nameRU":"Актобе"}
7;Алга,Алға;{"name":"Алға","nameRU":"Алга"}
8;Алма-Ата,Алма ата,Алматы,Алмата,Ата;{"name":"Алматы","nameRU":"Алматы"}
9;Алтай,Зыряновск;{"name":"Алтай","nameRU":"Алтай"}
10;Аральск,Арал;{"name":"Арал","nameRU":"Аральск"}
11;Аркалык,Арқалық,Арка,Арқа;{"name":"Арқалық","nameRU":"Аркалык"}
12;Арыс,Арысь;{"name":"Арыс","nameRU":"Арыс"}
13;Астана,Акмолинск,Целиноград,Акмола,Нур-Султан,Нур Султан,Нұр-Сұлтан,Остана;{"name":"Астана","nameRU":"Астана"}
14;Атбасар;{"name":"Атбасар","nameRU":"Атбасар"}
15;Атырау,Гурьев,Атрал;{"name":"Атырау","nameRU":"Атырау"}
16;Аягоз,Аягөз,Аягуз,Ноябрьск;{"name":"Аягөз","nameRU":"Аягоз"}
17;Байконур,Байконыр,Байқоңыр;{"name":"Байқоңыр","nameRU":"Байконур"}
18;Балхаш,Балқаш;{"name":"Балқаш","nameRU":"Балхаш"}
19;Булаево,Булаев,;{"name":"Булаев","nameRU":"Булаево"}
20;Державинск,Державин;{"name":"Державин","nameRU":"Державинск"}
21;Ерейментау,Ерментау,Ерейментау;{"name":"Ерейментау","nameRU":"Ерейментау"}
22;Есик,Есік;{"name":"Есік","nameRU":"Есик"}
23;Есиль,Есіл;{"name":"Есіл","nameRU":"Есиль"}
24;Жанаозен,Новый Узень,Жаңаөзен;{"name":"Жаңаөзен","nameRU":"Жанаозен"}
25;Жанатас,Жаңатас;{"name":"Жаңатас","nameRU":"Жанатас"}
26;Жаркент;{"name":"Жаркент","nameRU":"Жаркент"}
27;Жезказган,Джезказган,Жезқазған,Жез;{"name":"Жезқазған","nameRU":"Жезказган"}
28;Жем;{"name":"Жем","nameRU":"Жем"}
29;Жетысай,Жетісай;{"name":"Жетісай","nameRU":"Жетысай"}
30;Житикара,Джетыгара,Жітіқара,Жетіқара;{"name":"Жітіқара","nameRU":"Житикара"}
31;Зайсан,Зайсаң;{"name":"Зайсаң","nameRU":"Зайсан"}
32;Казалинск,Қазалы;{"name":"Қазалы","nameRU":"Казалинск"}
33;Кандыагаш,Қандыағаш,Қандағаш,Кандагаш;{"name":"Қандыағаш","nameRU":"Кандыагаш"}
34;Караганда,Караганды,Қарағанды,Караган да;{"name":"Қарағанды","nameRU":"Караганда"}
35;Каражал,Қаражал;{"name":"Қаражал","nameRU":"Каражал"}
36;Каратау,Қаратау;{"name":"Қаратау","nameRU":"Каратау"}
37;Каркаралинск,Қарқаралы;{"name":"Қарқаралы","nameRU":"Каркаралинск"}
38;Каскелен,Қаскелең;{"name":"Қаскелең","nameRU":"Каскелен"}
39;Кентау,Кен тау;{"name":"Кентау","nameRU":"Кентау"}
40;Кокшетау,Көкшетау,Кокчетав,Кокшетав,Как считал,Как читал,Как чита;{"name":"Көкшетау","nameRU":"Кокшетау"}
41;Конаев,Кунаев,Қонаев,Капчагай,Капшагай;{"name":"Қонаев","nameRU":"Конаев"}
42;Костанай,Николаевск,Кустанай,Қостанай;{"name":"Қостанай","nameRU":"Костанай"}
43;Косшы,Кощи,Қосшы;{"name":"Қосшы","nameRU":"Косшы"}
44;Кульсары,Кулсары,Құлсары;{"name":"Құлсары","nameRU":"Кулсары"}
45;Курчатов;{"name":"Курчатов","nameRU":"Курчатов"}
46;Кызылорда,Ак-Мечеть,Ак Мечеть,Перовск,Кзыл-Орда,Кзыл Орда,Қызылорда,Ах мечеть,Кзыл Орда,Қызылорда,Кварда,Козелар да,Кызылор да,Акмешит,Кызыл орда;{"name":"Қызылорда","nameRU":"Кызылорда"}
47;Ленгер,Леңгір;{"name":"Леңгір","nameRU":"Ленгер"}
48;Лисаковск,Лисаковск,Лисаковск,Лисаков;{"name":"Лисаков","nameRU":"Лисаковск"}
49;Макинск;{"name":"Макинск","nameRU":"Макинск"}
50;Мамлютка,Мамлют,Мәмлүт;{"name":"Мамлют","nameRU":"Мамлютка"}
51;Павлодар;{"name":"Павладар","nameRU":"Павлодар"}
52;Петропавловск,Петропавл;{"name":"Петрапавл","nameRU":"Петропавловск"}
53;Приозёрск,Приозер;{"name":"Приозёрск","nameRU":"Приозёрск"}
54;Риддер,Лениногорск;{"name":"Риддер","nameRU":"Риддер"}
55;Рудный;{"name":"Рудный","nameRU":"Рудный"}
56;Сарань,Саран;{"name":"Саран","nameRU":"Сарань"}
57;Сарканд,Сарқант;{"name":"Сарқант","nameRU":"Сарканд"}
58;Сарыагаш,Сарыағаш,Сарағаш,Сарагаш;{"name":"Сарағаш","nameRU":"Сарыагаш"}
59;Сатпаев,Сәтбаев,Сәтпаев,Цэппаев;{"name":"Сәтбаев","nameRU":"Сатпаев"}
60;Семей,Семипалатинск;{"name":"Семей","nameRU":"Семей"}
61;Сергеевка,Сергеев;{"name":"Сергеев","nameRU":"Сергеевка"}
62;Серебрянск;{"name":"Серебрянск","nameRU":"Серебрянск"}
63;Степногорск;{"name":"Степногорск","nameRU":"Степногорск"}
64;Степняк;{"name":"Степняк","nameRU":"Степняк"}
65;Тайынша,Красноармейск;{"name":"Тайынша","nameRU":"Тайынша"}
66;Талгар,Талғар;{"name":"Талғар","nameRU":"Талгар"}
67;Талдыкорган,Талды-Корган,Талды-Курган,Талды Корган,Талды Курган,Талдықорған,Талдык;{"name":"Талдықорған","nameRU":"Талдыкорган"}
68;Тараз,Жамбыл,Джамбул,Тарас,Тара,Саранск,Саратов,Талас;{"name":"Тараз","nameRU":"Тараз"}
69;Текели,Текелі;{"name":"Текелі","nameRU":"Текели"}
70;Темир,Темір;{"name":"Темір","nameRU":"Темир"}
71;Темиртау,Теміртау;{"name":"Теміртау","nameRU":"Темиртау"}
72;Тобыл,Затобольск;{"name":"Тобыл","nameRU":"Тобыл"}
73;Туркестан,Түркістан;{"name":"Түркістан","nameRU":"Туркестан"}
74;Уральск,Орал;{"name":"Орал","nameRU":"Уральск"}
75;Усть-Каменогорск,Усть Каменогорск,Өскемен,Ускаман;{"name":"Өскемен","nameRU":"Усть-Каменогорск"}
76;Ушарал,Үшарал;{"name":"Үшарал","nameRU":"Ушарал"}
77;Уштобе,Үштөбе;{"name":"Үштөбе","nameRU":"Уштобе"}
78;Форт-Шевченко,Форт Шевченко;{"name":"Форт-Шевченко", "nameRU":"Форт-Шевченко"}
79;Хромтау,Хром тау;{"name":"Хромтау","nameRU":"Хромтау"}
80;Шалкар,Челкар,Шалқар;{"name":"Шалқар","nameRU":"Шалкар"}
81;Шар,Чарск;{"name":"Шар","nameRU":"Шар"}
82;Шардара,Шардарейро;{"name":"Шардара","nameRU":"Шардара"}
83;Шахтинск;{"name":"Шахтинск","nameRU":"Шахтинск"}
84;Шемонаиха,Шемонаииха;{"name":"Шемонаиха","nameRU":"Шемонаиха"}
85;Шу,Чу;{"name":"Шу","nameRU":"Шу"}
86;Шымкент,Чимкент,Шым,Чим,Техас,Шымкала,Шымқала;{"name":"Шымкент","nameRU":"Шымкент"}
87;Щучинск;{"name":"Щучинск","nameRU":"Щучинск"}
88;Экибастуз,Екібастұз;{"name":"Екібастұз","nameRU":"Экибастуз"}
89;Эмба,Ембі;{"name":"Ембі","nameRU":"Эмба"}
90;Нұркент,Нуркент;{"name":"Нұркент","nameRU":"Нуркент"}